gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Student_ID,Feedback_Text,Risk_Level,gpa,attendance_rate,participation_score,late_submissions
female,group D,associate's degree,standard,none,86,86,94,STU10000,I'm motivated to keep improving my grades.,0,3.74,92,82,0
male,group C,some college,free/reduced,completed,48,47,50,STU10001,I'm considering dropping out because I can't keep up.,2,1.97,67,12,4
female,group C,associate's degree,standard,none,58,57,55,STU10002,I love this subject and enjoy the classes.,0,1.89,91,97,2
male,group C,bachelor's degree,standard,none,71,58,59,STU10003,I attend classes regularly but don't always pay attention.,1,2.58,70,60,4
female,group D,master's degree,standard,none,86,95,96,STU10004,I am doing well and understanding the concepts clearly.,0,3.47,95,78,0
male,group D,some college,standard,completed,64,55,68,STU10005,Some topics are clear but others are confusing.,1,2.58,71,79,5
female,group E,bachelor's degree,standard,completed,83,84,81,STU10006,The test was manageable and I understood most concepts.,0,3.21,94,95,2
male,group D,high school,standard,none,63,73,58,STU10007,I don't understand the lectures at all anymore.,2,2.75,42,24,8
female,group A,associate's degree,standard,none,83,98,95,STU10008,The test was manageable and I understood most concepts.,0,3.97,97,83,1
male,group B,associate's degree,standard,completed,96,84,94,STU10009,I'm motivated to keep improving my grades.,0,3.38,96,81,2
female,group D,associate's degree,free/reduced,none,31,30,35,STU10010,I am stressed and falling behind in multiple subjects.,2,1.43,44,48,14
male,group E,high school,standard,completed,89,94,76,STU10011,I feel confident about my progress this semester.,0,3.25,99,87,1
male,group C,high school,standard,none,70,63,59,STU10012,I'm considering dropping out because I can't keep up.,2,2.34,60,13,7
female,group E,bachelor's degree,standard,none,98,95,100,STU10013,Some topics are clear but others are confusing.,0,3.83,87,81,2
female,group D,associate's degree,standard,none,73,73,77,STU10014,Some topics are clear but others are confusing.,1,2.97,90,79,2
male,group D,some high school,standard,none,76,69,67,STU10015,I love this subject and enjoy the classes.,0,2.86,98,93,1
female,group D,bachelor's degree,standard,none,62,69,67,STU10016,I feel confident about my progress this semester.,0,2.31,86,78,0
female,group C,some college,standard,completed,70,67,77,STU10017,I enjoy group projects and collaborative learning.,0,2.93,97,87,2
female,group C,high school,standard,none,64,68,67,STU10018,My performance varies a lot depending on the subject.,1,2.7,70,57,5
male,group D,master's degree,standard,none,85,86,83,STU10019,I enjoy group projects and collaborative learning.,0,3.5,88,84,1
male,group C,some high school,standard,none,75,66,64,STU10020,I am satisfied with my performance and feel well-prepared.,0,3.03,93,91,0
female,group B,associate's degree,free/reduced,none,53,74,69,STU10021,The test was manageable and I understood most concepts.,0,2.45,91,79,1
male,group A,some college,free/reduced,none,54,55,59,STU10022,My performance varies a lot depending on the subject.,1,2.58,70,70,4
male,group D,associate's degree,standard,completed,66,75,71,STU10023,I feel supported by my teachers and peers.,0,3.21,94,82,0
female,group C,associate's degree,standard,none,59,59,75,STU10024,"I feel neutral about school, neither excited nor worried.",1,2.24,85,54,5
